local,visitor,period,time,player,action,side,score_home,score_away
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:47,"LACHMANOVICH, ARBEL",Free Throw In (1/1 - 3 pt),U18 Maccabi Tel Aviv,3,4
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:47,"LACHMANOVICH, ARBEL",Foul Drawn (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:47,"CECCATO, MATTIA",Foul (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:47,"ARTMENKO, GABRIEL",Assist (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:47,"LACHMANOVICH, ARBEL",Two Pointer (1/2 - 2 pt),U18 Maccabi Tel Aviv,2,4
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:54,"LONATI, ACHILLE",Assist (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,08:56,"SUIGO, LUIGI",Two Pointer (1/1 - 2 pt),U18 EA7 Emporio Armani Milan,0,4
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,09:02,"CECCATO, MATTIA",Def Rebound (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,09:04,"ARTMENKO, GABRIEL",Missed Two Pointer (0/1 - 0 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,09:14,"GARAVAGLIA, DIEGO",Assist (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,09:16,"YOUSSEF, GUGLIELMO",Two Pointer (1/1 - 2 pt),U18 EA7 Emporio Armani Milan,0,2
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,09:20,"GARAVAGLIA, DIEGO",Def Rebound (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,09:22,"LACHMANOVICH, ARBEL",Missed Two Pointer (0/1 - 0 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,09:43,,Def Rebound (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,09:44,"GARAVAGLIA, DIEGO",Missed Two Pointer (0/1 - 0 pt),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,1er Cuarto,10:00,,,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:01,"BERG, ROEE",Missed Three Pointer (0/1 - 2 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:05,"KAREM, OMAR",Assist (2),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:07,"BELLINASO, WERTHER",Three Pointer (1/3 - 3 pt),U18 EA7 Emporio Armani Milan,36,40
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:15,"SHALMON, IFTAH",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:15,"ARTMENKO, GABRIEL",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:15,"BERG, ROEE",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:15,"BARAK, ERAN",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:15,"BELLINASO, WERTHER",Foul Drawn (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:15,"STOLLER, ROM",Foul (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:19,"SUIGO, LUIGI",Def Rebound (3),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:20,"BARAK, ERAN",Missed Two Pointer (1/2 - 7 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:37,"STOLLER, ROM",Foul Drawn (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:37,"SUIGO, LUIGI",Turnover (2),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:37,"SUIGO, LUIGI",Offensive Foul (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:47,"KAREM, OMAR",Def Rebound (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,00:49,"AGAMI, ELI",Missed Two Pointer (0/2 - 9 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:08,"GRASSI, MATTIA",In,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:08,"GARAVAGLIA, DIEGO",Out,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:08,"YOUSSEF, GUGLIELMO",Out,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:08,"CHAUVEAU, BAPTISTE",In,U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:08,,Time Out (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:08,"STOLLER, ROM",Foul Drawn (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:08,"YOUSSEF, GUGLIELMO",Turnover (1),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:08,"YOUSSEF, GUGLIELMO",Offensive Foul (3),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:17,"STOLLER, ROM",Two Pointer (1/1 - 2 pt),U18 Maccabi Tel Aviv,36,37
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:25,"ARTMENKO, GABRIEL",Def Rebound (3),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:27,"SUIGO, LUIGI",Missed Two Pointer (2/4 - 7 pt),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:27,"SUIGO, LUIGI",Off Rebound (4),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:30,"KAREM, OMAR",Missed Two Pointer (0/1 - 3 pt),U18 EA7 Emporio Armani Milan,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:37,"AGAMI, ELI",Free Throw In (6/6 - 9 pt),U18 Maccabi Tel Aviv,34,37
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:37,"ASHKENAZI, KEREM",Assist (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 EA7 Emporio Armani Milan,2º Cuarto,01:37,"AGAMI, ELI",Free Throw In (5/5 - 8 pt),U18 Maccabi Tel Aviv,33,37
