local,visitor,period,time,player,action,side,score_home,score_away
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,02:56,"DODO, NITAY",Missed Two Pointer (3/7 - 10 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,03:08,"DODO, NITAY",Def Rebound (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,03:09,"MACHETTI, MARIO",Missed Two Pointer (0/1 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,03:36,"BARAK, ERAN",Assist (4),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,03:38,"GOLD, TAMIR",Two Pointer (2/2 - 4 pt),U18 Maccabi Tel Aviv,29,16
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,03:46,"BARAK, ERAN",Def Rebound (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,03:49,"MACHETTI, MARIO",Missed Three Pointer (0/2 - 0 pt),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:02,"ARTMENKO, GABRIEL",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:02,"BERG, ROEE",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:02,"AGAMI, ELI",Out,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:02,"GOLD, TAMIR",In,U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:02,"FALL, OUMAR",Foul Drawn (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:02,"ARTMENKO, GABRIEL",Foul (2),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:08,"MACHETTI, MARIO",Foul Drawn (3),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:08,"ARTMENKO, GABRIEL",Foul (1),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:10,"CLAPS, MATTIA",Def Rebound (1),U18 Dolomiti Energia Trento,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:12,"DODO, NITAY",Missed Two Pointer (3/6 - 10 pt),U18 Maccabi Tel Aviv,,
U18 Maccabi Tel Aviv,U18 Dolomiti Energia Trento,2º Cuarto,04:20,"DODO, NITAY",Off Rebound (2),U18 Maccabi Tel Aviv,,
