local,visitor,period,time,player,action,side,score_home,score_away
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:07,"DANILOVIC, UROS",Foul Drawn (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:07,"SOLIMAN, NATHAN",Foul (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:08,"DANILOVIC, UROS",Two Pointer (1/3 - 2 pt),U18 Partizan Mozzart Bet Belgrade,6,2
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:08,"DANILOVIC, UROS",Off Rebound (2),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:08,"SIJARIC, DARIS",Missed Two Pointer (0/2 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:08,"SIJARIC, DARIS",Off Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:10,"DANILOVIC, UROS",Missed Two Pointer (0/2 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:21,"KOJIC, ALEKSA",Foul Drawn (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:21,"KOUAKOU-HEUGUE, NOA",Foul (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:21,,Off Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:21,"DANILOVIC, UROS",Missed Two Pointer (0/1 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:41,"YIMGA MOUKOURI, HUGO",Two Pointer (2/2 - 4 pt),U18 Pole France INSEP Paris,6,0
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,07:56,"DANILOVIC, UROS",Turnover (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:19,"YIMGA MOUKOURI, HUGO",Two Pointer (1/1 - 2 pt),U18 Pole France INSEP Paris,4,0
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:23,"YIMGA MOUKOURI, HUGO",Def Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:25,"SIJARIC, DARIS",Missed Two Pointer (0/1 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:30,"MIRKOVIC, ZIVKO",Off Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:32,"KOUAKOU-HEUGUE, NOA",Block (2),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:34,"MIRKOVIC, ZIVKO",Shot Rejected (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:34,"MIRKOVIC, ZIVKO",Missed Two Pointer (0/1 - 0 pt),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:42,"DANILOVIC, UROS",Def Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:45,"HOUINDO, CAMERON",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:45,"HOUINDO, CAMERON",Off Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:48,"MAHOP, MATTHYS",Missed Two Pointer (0/1 - 0 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:51,"MAHOP, MATTHYS",Off Rebound (1),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,08:55,"SOLIMAN, NATHAN",Missed Three Pointer (0/1 - 2 pt),U18 Pole France INSEP Paris,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,09:12,,Turnover (1),U18 Partizan Mozzart Bet Belgrade,,
U18 Pole France INSEP Paris,U18 Partizan Mozzart Bet Belgrade,1er Cuarto,09:12,"DANILOVIC, UROS",Off Rebound (1),U18 Partizan Mozzart Bet Belgrade,,
